,date,country,area,mtu,price(eur/mwh)
0,01.12.2022,Denmark,BZN DK1,00:00 - 01:00,292.06
1,01.12.2022,Denmark,BZN DK1,01:00 - 02:00,291.43
2,01.12.2022,Denmark,BZN DK1,02:00 - 03:00,284.76
3,01.12.2022,Denmark,BZN DK1,03:00 - 04:00,274.8
4,01.12.2022,Denmark,BZN DK1,04:00 - 05:00,271.91
5,01.12.2022,Denmark,BZN DK1,05:00 - 06:00,283.49
6,01.12.2022,Denmark,BZN DK1,06:00 - 07:00,353.18
7,01.12.2022,Denmark,BZN DK1,07:00 - 08:00,450.84
8,01.12.2022,Denmark,BZN DK1,08:00 - 09:00,463.55
9,01.12.2022,Denmark,BZN DK1,09:00 - 10:00,462.15
10,01.12.2022,Denmark,BZN DK1,10:00 - 11:00,453.07
11,01.12.2022,Denmark,BZN DK1,11:00 - 12:00,446.43
12,01.12.2022,Denmark,BZN DK1,12:00 - 13:00,437.88
13,01.12.2022,Denmark,BZN DK1,13:00 - 14:00,446.54
14,01.12.2022,Denmark,BZN DK1,14:00 - 15:00,464.07
15,01.12.2022,Denmark,BZN DK1,15:00 - 16:00,463.1
16,01.12.2022,Denmark,BZN DK1,16:00 - 17:00,458.04
17,01.12.2022,Denmark,BZN DK1,17:00 - 18:00,484.07
18,01.12.2022,Denmark,BZN DK1,18:00 - 19:00,469.79
19,01.12.2022,Denmark,BZN DK1,19:00 - 20:00,457.89
20,01.12.2022,Denmark,BZN DK1,20:00 - 21:00,430.8
21,01.12.2022,Denmark,BZN DK1,21:00 - 22:00,379.49
22,01.12.2022,Denmark,BZN DK1,22:00 - 23:00,340.63
23,01.12.2022,Denmark,BZN DK1,23:00 - 00:00,304.55
0,01.12.2022,Denmark,BZN DK2,00:00 - 01:00,286.45
1,01.12.2022,Denmark,BZN DK2,01:00 - 02:00,284.43
2,01.12.2022,Denmark,BZN DK2,02:00 - 03:00,277.92
3,01.12.2022,Denmark,BZN DK2,03:00 - 04:00,268.21
4,01.12.2022,Denmark,BZN DK2,04:00 - 05:00,271.91
5,01.12.2022,Denmark,BZN DK2,05:00 - 06:00,283.49
6,01.12.2022,Denmark,BZN DK2,06:00 - 07:00,353.18
7,01.12.2022,Denmark,BZN DK2,07:00 - 08:00,450.84
8,01.12.2022,Denmark,BZN DK2,08:00 - 09:00,463.55
9,01.12.2022,Denmark,BZN DK2,09:00 - 10:00,462.15
10,01.12.2022,Denmark,BZN DK2,10:00 - 11:00,453.07
11,01.12.2022,Denmark,BZN DK2,11:00 - 12:00,446.43
12,01.12.2022,Denmark,BZN DK2,12:00 - 13:00,437.88
13,01.12.2022,Denmark,BZN DK2,13:00 - 14:00,446.54
14,01.12.2022,Denmark,BZN DK2,14:00 - 15:00,464.07
15,01.12.2022,Denmark,BZN DK2,15:00 - 16:00,463.1
16,01.12.2022,Denmark,BZN DK2,16:00 - 17:00,458.04
17,01.12.2022,Denmark,BZN DK2,17:00 - 18:00,484.07
18,01.12.2022,Denmark,BZN DK2,18:00 - 19:00,469.79
19,01.12.2022,Denmark,BZN DK2,19:00 - 20:00,457.89
20,01.12.2022,Denmark,BZN DK2,20:00 - 21:00,430.8
21,01.12.2022,Denmark,BZN DK2,21:00 - 22:00,379.49
22,01.12.2022,Denmark,BZN DK2,22:00 - 23:00,340.63
23,01.12.2022,Denmark,BZN DK2,23:00 - 00:00,304.55
0,01.12.2022,Estonia,BZN EE,00:00 - 01:00,295.18
1,01.12.2022,Estonia,BZN EE,01:00 - 02:00,295.39
2,01.12.2022,Estonia,BZN EE,02:00 - 03:00,291.62
3,01.12.2022,Estonia,BZN EE,03:00 - 04:00,281.56
4,01.12.2022,Estonia,BZN EE,04:00 - 05:00,277.18
5,01.12.2022,Estonia,BZN EE,05:00 - 06:00,283.49
6,01.12.2022,Estonia,BZN EE,06:00 - 07:00,356.16
7,01.12.2022,Estonia,BZN EE,07:00 - 08:00,452.77
8,01.12.2022,Estonia,BZN EE,08:00 - 09:00,463.35
9,01.12.2022,Estonia,BZN EE,09:00 - 10:00,460.14
10,01.12.2022,Estonia,BZN EE,10:00 - 11:00,453.07
11,01.12.2022,Estonia,BZN EE,11:00 - 12:00,446.85
12,01.12.2022,Estonia,BZN EE,12:00 - 13:00,437.88
13,01.12.2022,Estonia,BZN EE,13:00 - 14:00,447.7
14,01.12.2022,Estonia,BZN EE,14:00 - 15:00,465.15
15,01.12.2022,Estonia,BZN EE,15:00 - 16:00,463.1
16,01.12.2022,Estonia,BZN EE,16:00 - 17:00,458.04
17,01.12.2022,Estonia,BZN EE,17:00 - 18:00,484.07
18,01.12.2022,Estonia,BZN EE,18:00 - 19:00,469.79
19,01.12.2022,Estonia,BZN EE,19:00 - 20:00,457.89
20,01.12.2022,Estonia,BZN EE,20:00 - 21:00,430.8
21,01.12.2022,Estonia,BZN EE,21:00 - 22:00,379.49
22,01.12.2022,Estonia,BZN EE,22:00 - 23:00,332.46
23,01.12.2022,Estonia,BZN EE,23:00 - 00:00,297.24
0,01.12.2022,Finland,BZN FI,00:00 - 01:00,285.05
1,01.12.2022,Finland,BZN FI,01:00 - 02:00,284.43
2,01.12.2022,Finland,BZN FI,02:00 - 03:00,277.92
3,01.12.2022,Finland,BZN FI,03:00 - 04:00,268.21
4,01.12.2022,Finland,BZN FI,04:00 - 05:00,277.18
5,01.12.2022,Finland,BZN FI,05:00 - 06:00,283.49
6,01.12.2022,Finland,BZN FI,06:00 - 07:00,356.16
7,01.12.2022,Finland,BZN FI,07:00 - 08:00,452.77
8,01.12.2022,Finland,BZN FI,08:00 - 09:00,463.35
9,01.12.2022,Finland,BZN FI,09:00 - 10:00,460.14
10,01.12.2022,Finland,BZN FI,10:00 - 11:00,453.07
11,01.12.2022,Finland,BZN FI,11:00 - 12:00,446.43
12,01.12.2022,Finland,BZN FI,12:00 - 13:00,437.88
13,01.12.2022,Finland,BZN FI,13:00 - 14:00,447.7
14,01.12.2022,Finland,BZN FI,14:00 - 15:00,464.07
15,01.12.2022,Finland,BZN FI,15:00 - 16:00,463.1
16,01.12.2022,Finland,BZN FI,16:00 - 17:00,458.04
17,01.12.2022,Finland,BZN FI,17:00 - 18:00,484.07
18,01.12.2022,Finland,BZN FI,18:00 - 19:00,469.79
19,01.12.2022,Finland,BZN FI,19:00 - 20:00,457.89
20,01.12.2022,Finland,BZN FI,20:00 - 21:00,430.8
21,01.12.2022,Finland,BZN FI,21:00 - 22:00,379.49
22,01.12.2022,Finland,BZN FI,22:00 - 23:00,332.46
23,01.12.2022,Finland,BZN FI,23:00 - 00:00,297.24
0,01.12.2022,France,BZN FR,00:00 - 01:00,292.01
1,01.12.2022,France,BZN FR,01:00 - 02:00,290.79
2,01.12.2022,France,BZN FR,02:00 - 03:00,283.65
3,01.12.2022,France,BZN FR,03:00 - 04:00,273.3
4,01.12.2022,France,BZN FR,04:00 - 05:00,270.74
5,01.12.2022,France,BZN FR,05:00 - 06:00,283.31
6,01.12.2022,France,BZN FR,06:00 - 07:00,341.33
7,01.12.2022,France,BZN FR,07:00 - 08:00,440.5
8,01.12.2022,France,BZN FR,08:00 - 09:00,459.89
9,01.12.2022,France,BZN FR,09:00 - 10:00,457.65
10,01.12.2022,France,BZN FR,10:00 - 11:00,441.57
11,01.12.2022,France,BZN FR,11:00 - 12:00,437.93
12,01.12.2022,France,BZN FR,12:00 - 13:00,427.31
