,date,country,area,mtu,price(currency/mwh),price(eur/mwh)
2,18.12.2022,Austria,BZN DE-AT-LU,02:00 - 03:00,
3,18.12.2022,Austria,BZN DE-AT-LU,03:00 - 04:00,
4,18.12.2022,Austria,BZN DE-AT-LU,04:00 - 05:00,
5,18.12.2022,Austria,BZN DE-AT-LU,05:00 - 06:00,
6,18.12.2022,Austria,BZN DE-AT-LU,06:00 - 07:00,
7,18.12.2022,Austria,BZN DE-AT-LU,07:00 - 08:00,
8,18.12.2022,Austria,BZN DE-AT-LU,08:00 - 09:00,
9,18.12.2022,Austria,BZN DE-AT-LU,09:00 - 10:00,
10,18.12.2022,Austria,BZN DE-AT-LU,10:00 - 11:00,
11,18.12.2022,Austria,BZN DE-AT-LU,11:00 - 12:00,
12,18.12.2022,Austria,BZN DE-AT-LU,12:00 - 13:00,
13,18.12.2022,Austria,BZN DE-AT-LU,13:00 - 14:00,
14,18.12.2022,Austria,BZN DE-AT-LU,14:00 - 15:00,
15,18.12.2022,Austria,BZN DE-AT-LU,15:00 - 16:00,
16,18.12.2022,Austria,BZN DE-AT-LU,16:00 - 17:00,
17,18.12.2022,Austria,BZN DE-AT-LU,17:00 - 18:00,
18,18.12.2022,Austria,BZN DE-AT-LU,18:00 - 19:00,
19,18.12.2022,Austria,BZN DE-AT-LU,19:00 - 20:00,
20,18.12.2022,Austria,BZN DE-AT-LU,20:00 - 21:00,
21,18.12.2022,Austria,BZN DE-AT-LU,21:00 - 22:00,
22,18.12.2022,Austria,BZN DE-AT-LU,22:00 - 23:00,
23,18.12.2022,Austria,BZN DE-AT-LU,23:00 - 00:00,
0,18.12.2022,Belgium,BZN BE,00:00 - 01:00,291.0
1,18.12.2022,Belgium,BZN BE,01:00 - 02:00,324.46
2,18.12.2022,Belgium,BZN BE,02:00 - 03:00,287.47
3,18.12.2022,Belgium,BZN BE,03:00 - 04:00,242.46
4,18.12.2022,Belgium,BZN BE,04:00 - 05:00,214.26
5,18.12.2022,Belgium,BZN BE,05:00 - 06:00,199.46
6,18.12.2022,Belgium,BZN BE,06:00 - 07:00,185.54
7,18.12.2022,Belgium,BZN BE,07:00 - 08:00,212.07
8,18.12.2022,Belgium,BZN BE,08:00 - 09:00,221.17
9,18.12.2022,Belgium,BZN BE,09:00 - 10:00,250.03
10,18.12.2022,Belgium,BZN BE,10:00 - 11:00,231.24
11,18.12.2022,Belgium,BZN BE,11:00 - 12:00,250.19
12,18.12.2022,Belgium,BZN BE,12:00 - 13:00,277.97
13,18.12.2022,Belgium,BZN BE,13:00 - 14:00,224.43
14,18.12.2022,Belgium,BZN BE,14:00 - 15:00,229.5
15,18.12.2022,Belgium,BZN BE,15:00 - 16:00,239.86
16,18.12.2022,Belgium,BZN BE,16:00 - 17:00,241.4
17,18.12.2022,Belgium,BZN BE,17:00 - 18:00,271.66
18,18.12.2022,Belgium,BZN BE,18:00 - 19:00,275.17
19,18.12.2022,Belgium,BZN BE,19:00 - 20:00,219.15
20,18.12.2022,Belgium,BZN BE,20:00 - 21:00,281.99
21,18.12.2022,Belgium,BZN BE,21:00 - 22:00,163.08
22,18.12.2022,Belgium,BZN BE,22:00 - 23:00,175.55
23,18.12.2022,Belgium,BZN BE,23:00 - 00:00,117.87
0,18.12.2022,Bosnia and Herz.,BZN BA,00:00 - 01:00,
1,18.12.2022,Bosnia and Herz.,BZN BA,01:00 - 02:00,
2,18.12.2022,Bosnia and Herz.,BZN BA,02:00 - 03:00,
3,18.12.2022,Bosnia and Herz.,BZN BA,03:00 - 04:00,
4,18.12.2022,Bosnia and Herz.,BZN BA,04:00 - 05:00,
5,18.12.2022,Bosnia and Herz.,BZN BA,05:00 - 06:00,
6,18.12.2022,Bosnia and Herz.,BZN BA,06:00 - 07:00,
7,18.12.2022,Bosnia and Herz.,BZN BA,07:00 - 08:00,
8,18.12.2022,Bosnia and Herz.,BZN BA,08:00 - 09:00,
9,18.12.2022,Bosnia and Herz.,BZN BA,09:00 - 10:00,
10,18.12.2022,Bosnia and Herz.,BZN BA,10:00 - 11:00,
11,18.12.2022,Bosnia and Herz.,BZN BA,11:00 - 12:00,
12,18.12.2022,Bosnia and Herz.,BZN BA,12:00 - 13:00,
13,18.12.2022,Bosnia and Herz.,BZN BA,13:00 - 14:00,
14,18.12.2022,Bosnia and Herz.,BZN BA,14:00 - 15:00,
15,18.12.2022,Bosnia and Herz.,BZN BA,15:00 - 16:00,
16,18.12.2022,Bosnia and Herz.,BZN BA,16:00 - 17:00,
17,18.12.2022,Bosnia and Herz.,BZN BA,17:00 - 18:00,
18,18.12.2022,Bosnia and Herz.,BZN BA,18:00 - 19:00,
19,18.12.2022,Bosnia and Herz.,BZN BA,19:00 - 20:00,
20,18.12.2022,Bosnia and Herz.,BZN BA,20:00 - 21:00,
21,18.12.2022,Bosnia and Herz.,BZN BA,21:00 - 22:00,
22,18.12.2022,Bosnia and Herz.,BZN BA,22:00 - 23:00,
23,18.12.2022,Bosnia and Herz.,BZN BA,23:00 - 00:00,
0,18.12.2022,Bulgaria,BZN BG,00:00 - 01:00,150.62
1,18.12.2022,Bulgaria,BZN BG,01:00 - 02:00,128.97
2,18.12.2022,Bulgaria,BZN BG,02:00 - 03:00,123.21
3,18.12.2022,Bulgaria,BZN BG,03:00 - 04:00,104.22
4,18.12.2022,Bulgaria,BZN BG,04:00 - 05:00,122.89
5,18.12.2022,Bulgaria,BZN BG,05:00 - 06:00,127.88
6,18.12.2022,Bulgaria,BZN BG,06:00 - 07:00,167.77
7,18.12.2022,Bulgaria,BZN BG,07:00 - 08:00,179.71
8,18.12.2022,Bulgaria,BZN BG,08:00 - 09:00,208.09
9,18.12.2022,Bulgaria,BZN BG,09:00 - 10:00,203.71
10,18.12.2022,Bulgaria,BZN BG,10:00 - 11:00,219.48
11,18.12.2022,Bulgaria,BZN BG,11:00 - 12:00,205.72
12,18.12.2022,Bulgaria,BZN BG,12:00 - 13:00,236.25
13,18.12.2022,Bulgaria,BZN BG,13:00 - 14:00,224.43
14,18.12.2022,Bulgaria,BZN BG,14:00 - 15:00,229.5
15,18.12.2022,Bulgaria,BZN BG,15:00 - 16:00,239.86
16,18.12.2022,Bulgaria,BZN BG,16:00 - 17:00,234.62
17,18.12.2022,Bulgaria,BZN BG,17:00 - 18:00,235.85
18,18.12.2022,Bulgaria,BZN BG,18:00 - 19:00,227.51
19,18.12.2022,Bulgaria,BZN BG,19:00 - 20:00,209.67
20,18.12.2022,Bulgaria,BZN BG,20:00 - 21:00,153.75
21,18.12.2022,Bulgaria,BZN BG,21:00 - 22:00,163.08
22,18.12.2022,Bulgaria,BZN BG,22:00 - 23:00,82.34
23,18.12.2022,Bulgaria,BZN BG,23:00 - 00:00,43.03
0,18.12.2022,Croatia,BZN HR,00:00 - 01:00,82.89
1,18.12.2022,Croatia,BZN HR,01:00 - 02:00,31.3
2,18.12.2022,Croatia,BZN HR,02:00 - 03:00,22.5
3,18.12.2022,Croatia,BZN HR,03:00 - 04:00,-1.31
4,18.12.2022,Croatia,BZN HR,04:00 - 05:00,39.0
5,18.12.2022,Croatia,BZN HR,05:00 - 06:00,55.08
6,18.12.2022,Croatia,BZN HR,06:00 - 07:00,168.15
7,18.12.2022,Croatia,BZN HR,07:00 - 08:00,183.51
8,18.12.2022,Croatia,BZN HR,08:00 - 09:00,209.61
9,18.12.2022,Croatia,BZN HR,09:00 - 10:00,209.01
10,18.12.2022,Croatia,BZN HR,10:00 - 11:00,219.97
11,18.12.2022,Croatia,BZN HR,11:00 - 12:00,217.86
12,18.12.2022,Croatia,BZN HR,12:00 - 13:00,241.14
13,18.12.2022,Croatia,BZN HR,13:00 - 14:00,224.43
14,18.12.2022,Croatia,BZN HR,14:00 - 15:00,229.5
15,18.12.2022,Croatia,BZN HR,15:00 - 16:00,239.86
16,18.12.2022,Croatia,BZN HR,16:00 - 17:00,234.83
17,18.12.2022,Croatia,BZN HR,17:00 - 18:00,237.03
18,18.12.2022,Croatia,BZN HR,18:00 - 19:00,228.98
19,18.12.2022,Croatia,BZN HR,19:00 - 20:00,210.04
20,18.12.2022,Croatia,BZN HR,20:00 - 21:00,208.81
21,18.12.2022,Croatia,BZN HR,21:00 - 22:00,163.08
22,18.12.2022,Croatia,BZN HR,22:00 - 23:00,147.18
23,18.12.2022,Croatia,BZN HR,23:00 - 00:00,79.61
0,18.12.2022,Cyprus,BZN CY,00:00 - 01:00,
1,18.12.2022,Cyprus,BZN CY,01:00 - 02:00,
2,18.12.2022,Cyprus,BZN CY,02:00 - 03:00,
3,18.12.2022,Cyprus,BZN CY,03:00 - 04:00,
4,18.12.2022,Cyprus,BZN CY,04:00 - 05:00,
5,18.12.2022,Cyprus,BZN CY,05:00 - 06:00,
6,18.12.2022,Cyprus,BZN CY,06:00 - 07:00,
7,18.12.2022,Cyprus,BZN CY,07:00 - 08:00,
8,18.12.2022,Cyprus,BZN CY,08:00 - 09:00,
9,18.12.2022,Cyprus,BZN CY,09:00 - 10:00,
10,18.12.2022,Cyprus,BZN CY,10:00 - 11:00,
11,18.12.2022,Cyprus,BZN CY,11:00 - 12:00,
12,18.12.2022,Cyprus,BZN CY,12:00 - 13:00,
13,18.12.2022,Cyprus,BZN CY,13:00 - 14:00,
14,18.12.2022,Cyprus,BZN CY,14:00 - 15:00,
15,18.12.2022,Cyprus,BZN CY,15:00 - 16:00,
16,18.12.2022,Cyprus,BZN CY,16:00 - 17:00,
17,18.12.2022,Cyprus,BZN CY,17:00 - 18:00,
18,18.12.2022,Cyprus,BZN CY,18:00 - 19:00,
19,18.12.2022,Cyprus,BZN CY,19:00 - 20:00,
20,18.12.2022,Cyprus,BZN CY,20:00 - 21:00,
21,18.12.2022,Cyprus,BZN CY,21:00 - 22:00,
22,18.12.2022,Cyprus,BZN CY,22:00 - 23:00,
23,18.12.2022,Cyprus,BZN CY,23:00 - 00:00,
0,18.12.2022,Czech Rep.,BZN CZ,00:00 - 01:00,176.68
1,18.12.2022,Czech Rep.,BZN CZ,01:00 - 02:00,168.79
2,18.12.2022,Czech Rep.,BZN CZ,02:00 - 03:00,163.41
3,18.12.2022,Czech Rep.,BZN CZ,03:00 - 04:00,138.69
4,18.12.2022,Czech Rep.,BZN CZ,04:00 - 05:00,154.28
5,18.12.2022,Czech Rep.,BZN CZ,05:00 - 06:00,159.92
6,18.12.2022,Czech Rep.,BZN CZ,06:00 - 07:00,165.61
7,18.12.2022,Czech Rep.,BZN CZ,07:00 - 08:00,172.53
8,18.12.2022,Czech Rep.,BZN CZ,08:00 - 09:00,204.97
9,18.12.2022,Czech Rep.,BZN CZ,09:00 - 10:00,192.64
10,18.12.2022,Czech Rep.,BZN CZ,10:00 - 11:00,218.59
11,18.12.2022,Czech Rep.,BZN CZ,11:00 - 12:00,191.96
12,18.12.2022,Czech Rep.,BZN CZ,12:00 - 13:00,228.38
13,18.12.2022,Czech Rep.,BZN CZ,13:00 - 14:00,224.43
14,18.12.2022,Czech Rep.,BZN CZ,14:00 - 15:00,229.5
15,18.12.2022,Czech Rep.,BZN CZ,15:00 - 16:00,239.86
16,18.12.2022,Czech Rep.,BZN CZ,16:00 - 17:00,234.26
17,18.12.2022,Czech Rep.,BZN CZ,17:00 - 18:00,233.85
18,18.12.2022,Czech Rep.,BZN CZ,18:00 - 19:00,225.14
19,18.12.2022,Czech Rep.,BZN CZ,19:00 - 20:00,209.04
20,18.12.2022,Czech Rep.,BZN CZ,20:00 - 21:00,166.1
21,18.12.2022,Czech Rep.,BZN CZ,21:00 - 22:00,163.08
22,18.12.2022,Czech Rep.,BZN CZ,22:00 - 23:00,134.03
23,18.12.2022,Czech Rep.,BZN CZ,23:00 - 00:00,103.66
0,18.12.2022,Czech Rep.,BZN CZ-DE-SK,00:00 - 01:00,
1,18.12.2022,Czech Rep.,BZN CZ-DE-SK,01:00 - 02:00,
2,18.12.2022,Czech Rep.,BZN CZ-DE-SK,02:00 - 03:00,
3,18.12.2022,Czech Rep.,BZN CZ-DE-SK,03:00 - 04:00,
4,18.12.2022,Czech Rep.,BZN CZ-DE-SK,04:00 - 05:00,
5,18.12.2022,Czech Rep.,BZN CZ-DE-SK,05:00 - 06:00,
6,18.12.2022,Czech Rep.,BZN CZ-DE-SK,06:00 - 07:00,
7,18.12.2022,Czech Rep.,BZN CZ-DE-SK,07:00 - 08:00,
8,18.12.2022,Czech Rep.,BZN CZ-DE-SK,08:00 - 09:00,
9,18.12.2022,Czech Rep.,BZN CZ-DE-SK,09:00 - 10:00,
10,18.12.2022,Czech Rep.,BZN CZ-DE-SK,10:00 - 11:00,
11,18.12.2022,Czech Rep.,BZN CZ-DE-SK,11:00 - 12:00,
12,18.12.2022,Czech Rep.,BZN CZ-DE-SK,12:00 - 13:00,
13,18.12.2022,Czech Rep.,BZN CZ-DE-SK,13:00 - 14:00,
14,18.12.2022,Czech Rep.,BZN CZ-DE-SK,14:00 - 15:00,
15,18.12.2022,Czech Rep.,BZN CZ-DE-SK,15:00 - 16:00,
16,18.12.2022,Czech Rep.,BZN CZ-DE-SK,16:00 - 17:00,
17,18.12.2022,Czech Rep.,BZN CZ-DE-SK,17:00 - 18:00,
18,18.12.2022,Czech Rep.,BZN CZ-DE-SK,18:00 - 19:00,
19,18.12.2022,Czech Rep.,BZN CZ-DE-SK,19:00 - 20:00,
20,18.12.2022,Czech Rep.,BZN CZ-DE-SK,20:00 - 21:00,
21,18.12.2022,Czech Rep.,BZN CZ-DE-SK,21:00 - 22:00,
22,18.12.2022,Czech Rep.,BZN CZ-DE-SK,22:00 - 23:00,
23,18.12.2022,Czech Rep.,BZN CZ-DE-SK,23:00 - 00:00,
0,18.12.2022,Denmark,BZN DK1,00:00 - 01:00,176.27
1,18.12.2022,Denmark,BZN DK1,01:00 - 02:00,168.67
2,18.12.2022,Denmark,BZN DK1,02:00 - 03:00,170.28
3,18.12.2022,Denmark,BZN DK1,03:00 - 04:00,172.11
4,18.12.2022,Denmark,BZN DK1,04:00 - 05:00,172.43
5,18.12.2022,Denmark,BZN DK1,05:00 - 06:00,169.49
6,18.12.2022,Denmark,BZN DK1,06:00 - 07:00,168.3
7,18.12.2022,Denmark,BZN DK1,07:00 - 08:00,177.22
8,18.12.2022,Denmark,BZN DK1,08:00 - 09:00,209.72
9,18.12.2022,Denmark,BZN DK1,09:00 - 10:00,209.65
10,18.12.2022,Denmark,BZN DK1,10:00 - 11:00,218.09
11,18.12.2022,Denmark,BZN DK1,11:00 - 12:00,216.12
12,18.12.2022,Denmark,BZN DK1,12:00 - 13:00,185.8
13,18.12.2022,Denmark,BZN DK1,13:00 - 14:00,224.43
14,18.12.2022,Denmark,BZN DK1,14:00 - 15:00,229.5
15,18.12.2022,Denmark,BZN DK1,15:00 - 16:00,239.86
16,18.12.2022,Denmark,BZN DK1,16:00 - 17:00,233.57
17,18.12.2022,Denmark,BZN DK1,17:00 - 18:00,229.47
18,18.12.2022,Denmark,BZN DK1,18:00 - 19:00,220.65
19,18.12.2022,Denmark,BZN DK1,19:00 - 20:00,208.29
20,18.12.2022,Denmark,BZN DK1,20:00 - 21:00,130.02
21,18.12.2022,Denmark,BZN DK1,21:00 - 22:00,163.08
22,18.12.2022,Denmark,BZN DK1,22:00 - 23:00,145.93
23,18.12.2022,Denmark,BZN DK1,23:00 - 00:00,115.28
0,18.12.2022,Denmark,BZN DK2,00:00 - 01:00,169.77
1,18.12.2022,Denmark,BZN DK2,01:00 - 02:00,160.58
2,18.12.2022,Denmark,BZN DK2,02:00 - 03:00,155.9
3,18.12.2022,Denmark,BZN DK2,03:00 - 04:00,132.9
4,18.12.2022,Denmark,BZN DK2,04:00 - 05:00,134.54
5,18.12.2022,Denmark,BZN DK2,05:00 - 06:00,118.55
6,18.12.2022,Denmark,BZN DK2,06:00 - 07:00,127.06
7,18.12.2022,Denmark,BZN DK2,07:00 - 08:00,171.53
8,18.12.2022,Denmark,BZN DK2,08:00 - 09:00,204.69
9,18.12.2022,Denmark,BZN DK2,09:00 - 10:00,192.18
10,18.12.2022,Denmark,BZN DK2,10:00 - 11:00,212.85
11,18.12.2022,Denmark,BZN DK2,11:00 - 12:00,195.28
12,18.12.2022,Denmark,BZN DK2,12:00 - 13:00,185.8
13,18.12.2022,Denmark,BZN DK2,13:00 - 14:00,219.04
14,18.12.2022,Denmark,BZN DK2,14:00 - 15:00,229.5
15,18.12.2022,Denmark,BZN DK2,15:00 - 16:00,239.86
16,18.12.2022,Denmark,BZN DK2,16:00 - 17:00,233.57
17,18.12.2022,Denmark,BZN DK2,17:00 - 18:00,229.47
18,18.12.2022,Denmark,BZN DK2,18:00 - 19:00,220.65
19,18.12.2022,Denmark,BZN DK2,19:00 - 20:00,208.29
20,18.12.2022,Denmark,BZN DK2,20:00 - 21:00,130.02
21,18.12.2022,Denmark,BZN DK2,21:00 - 22:00,163.08
22,18.12.2022,Denmark,BZN DK2,22:00 - 23:00,130.76
23,18.12.2022,Denmark,BZN DK2,23:00 - 00:00,103.22
0,18.12.2022,Estonia,BZN EE,00:00 - 01:00,169.77
1,18.12.2022,Estonia,BZN EE,01:00 - 02:00,160.58
2,18.12.2022,Estonia,BZN EE,02:00 - 03:00,155.9
3,18.12.2022,Estonia,BZN EE,03:00 - 04:00,132.9
4,18.12.2022,Estonia,BZN EE,04:00 - 05:00,149.67
5,18.12.2022,Estonia,BZN EE,05:00 - 06:00,155.35
6,18.12.2022,Estonia,BZN EE,06:00 - 07:00,164.74
7,18.12.2022,Estonia,BZN EE,07:00 - 08:00,171.53
8,18.12.2022,Estonia,BZN EE,08:00 - 09:00,204.69
9,18.12.2022,Estonia,BZN EE,09:00 - 10:00,192.18
10,18.12.2022,Estonia,BZN EE,10:00 - 11:00,218.27
11,18.12.2022,Estonia,BZN EE,11:00 - 12:00,195.28
12,18.12.2022,Estonia,BZN EE,12:00 - 13:00,193.5
13,18.12.2022,Estonia,BZN EE,13:00 - 14:00,219.04
14,18.12.2022,Estonia,BZN EE,14:00 - 15:00,229.5
15,18.12.2022,Estonia,BZN EE,15:00 - 16:00,239.86
16,18.12.2022,Estonia,BZN EE,16:00 - 17:00,233.57
17,18.12.2022,Estonia,BZN EE,17:00 - 18:00,232.67
18,18.12.2022,Estonia,BZN EE,18:00 - 19:00,223.76
19,18.12.2022,Estonia,BZN EE,19:00 - 20:00,208.74
20,18.12.2022,Estonia,BZN EE,20:00 - 21:00,155.9
21,18.12.2022,Estonia,BZN EE,21:00 - 22:00,163.08
22,18.12.2022,Estonia,BZN EE,22:00 - 23:00,130.76
23,18.12.2022,Estonia,BZN EE,23:00 - 00:00,103.22
0,18.12.2022,Finland,BZN FI,00:00 - 01:00,169.77
1,18.12.2022,Finland,BZN FI,01:00 - 02:00,160.58
2,18.12.2022,Finland,BZN FI,02:00 - 03:00,155.9
3,18.12.2022,Finland,BZN FI,03:00 - 04:00,132.9
4,18.12.2022,Finland,BZN FI,04:00 - 05:00,134.54
5,18.12.2022,Finland,BZN FI,05:00 - 06:00,155.35
6,18.12.2022,Finland,BZN FI,06:00 - 07:00,127.06
7,18.12.2022,Finland,BZN FI,07:00 - 08:00,171.53
8,18.12.2022,Finland,BZN FI,08:00 - 09:00,200.0
9,18.12.2022,Finland,BZN FI,09:00 - 10:00,173.46
10,18.12.2022,Finland,BZN FI,10:00 - 11:00,201.79
11,18.12.2022,Finland,BZN FI,11:00 - 12:00,195.28
12,18.12.2022,Finland,BZN FI,12:00 - 13:00,185.8
13,18.12.2022,Finland,BZN FI,13:00 - 14:00,219.04
14,18.12.2022,Finland,BZN FI,14:00 - 15:00,209.37
15,18.12.2022,Finland,BZN FI,15:00 - 16:00,182.21
16,18.12.2022,Finland,BZN FI,16:00 - 17:00,172.16
17,18.12.2022,Finland,BZN FI,17:00 - 18:00,204.28
18,18.12.2022,Finland,BZN FI,18:00 - 19:00,220.65
19,18.12.2022,Finland,BZN FI,19:00 - 20:00,208.29
20,18.12.2022,Finland,BZN FI,20:00 - 21:00,130.02
21,18.12.2022,Finland,BZN FI,21:00 - 22:00,163.08
22,18.12.2022,Finland,BZN FI,22:00 - 23:00,130.76
23,18.12.2022,Finland,BZN FI,23:00 - 00:00,103.22
0,18.12.2022,France,BZN FR,00:00 - 01:00,260.6
1,18.12.2022,France,BZN FR,01:00 - 02:00,264.0
2,18.12.2022,France,BZN FR,02:00 - 03:00,260.5
3,18.12.2022,France,BZN FR,03:00 - 04:00,258.3
4,18.12.2022,France,BZN FR,04:00 - 05:00,219.0
5,18.12.2022,France,BZN FR,05:00 - 06:00,196.56
6,18.12.2022,France,BZN FR,06:00 - 07:00,183.41
7,18.12.2022,France,BZN FR,07:00 - 08:00,229.23
8,18.12.2022,France,BZN FR,08:00 - 09:00,222.94
9,18.12.2022,France,BZN FR,09:00 - 10:00,255.8
10,18.12.2022,France,BZN FR,10:00 - 11:00,226.51
11,18.12.2022,France,BZN FR,11:00 - 12:00,255.0
12,18.12.2022,France,BZN FR,12:00 - 13:00,280.39
13,18.12.2022,France,BZN FR,13:00 - 14:00,224.43
14,18.12.2022,France,BZN FR,14:00 - 15:00,229.5
15,18.12.2022,France,BZN FR,15:00 - 16:00,239.86
16,18.12.2022,France,BZN FR,16:00 - 17:00,238.2
17,18.12.2022,France,BZN FR,17:00 - 18:00,254.92
18,18.12.2022,France,BZN FR,18:00 - 19:00,252.0
19,18.12.2022,France,BZN FR,19:00 - 20:00,215.4
20,18.12.2022,France,BZN FR,20:00 - 21:00,294.05
21,18.12.2022,France,BZN FR,21:00 - 22:00,163.08
22,18.12.2022,France,BZN FR,22:00 - 23:00,190.7
23,18.12.2022,France,BZN FR,23:00 - 00:00,118.06
0,18.12.2022,Georgia,BZN GE,00:00 - 01:00,
1,18.12.2022,Georgia,BZN GE,01:00 - 02:00,
2,18.12.2022,Georgia,BZN GE,02:00 - 03:00,
3,18.12.2022,Georgia,BZN GE,03:00 - 04:00,
4,18.12.2022,Georgia,BZN GE,04:00 - 05:00,
5,18.12.2022,Georgia,BZN GE,05:00 - 06:00,
6,18.12.2022,Georgia,BZN GE,06:00 - 07:00,
7,18.12.2022,Georgia,BZN GE,07:00 - 08:00,
8,18.12.2022,Georgia,BZN GE,08:00 - 09:00,
9,18.12.2022,Georgia,BZN GE,09:00 - 10:00,
10,18.12.2022,Georgia,BZN GE,10:00 - 11:00,
11,18.12.2022,Georgia,BZN GE,11:00 - 12:00,
12,18.12.2022,Georgia,BZN GE,12:00 - 13:00,
13,18.12.2022,Georgia,BZN GE,13:00 - 14:00,
14,18.12.2022,Georgia,BZN GE,14:00 - 15:00,
15,18.12.2022,Georgia,BZN GE,15:00 - 16:00,
16,18.12.2022,Georgia,BZN GE,16:00 - 17:00,
17,18.12.2022,Georgia,BZN GE,17:00 - 18:00,
18,18.12.2022,Georgia,BZN GE,18:00 - 19:00,
19,18.12.2022,Georgia,BZN GE,19:00 - 20:00,
20,18.12.2022,Georgia,BZN GE,20:00 - 21:00,
21,18.12.2022,Georgia,BZN GE,21:00 - 22:00,
22,18.12.2022,Georgia,BZN GE,22:00 - 23:00,
23,18.12.2022,Georgia,BZN GE,23:00 - 00:00,
0,18.12.2022,Germany,BZN DE-LU,00:00 - 01:00,176.27
1,18.12.2022,Germany,BZN DE-LU,01:00 - 02:00,168.67
2,18.12.2022,Germany,BZN DE-LU,02:00 - 03:00,170.28
3,18.12.2022,Germany,BZN DE-LU,03:00 - 04:00,172.11
4,18.12.2022,Germany,BZN DE-LU,04:00 - 05:00,172.43
5,18.12.2022,Germany,BZN DE-LU,05:00 - 06:00,169.49
6,18.12.2022,Germany,BZN DE-LU,06:00 - 07:00,168.3
7,18.12.2022,Germany,BZN DE-LU,07:00 - 08:00,177.22
8,18.12.2022,Germany,BZN DE-LU,08:00 - 09:00,209.72
9,18.12.2022,Germany,BZN DE-LU,09:00 - 10:00,209.65
10,18.12.2022,Germany,BZN DE-LU,10:00 - 11:00,218.09
11,18.12.2022,Germany,BZN DE-LU,11:00 - 12:00,216.12
12,18.12.2022,Germany,BZN DE-LU,12:00 - 13:00,185.8
13,18.12.2022,Germany,BZN DE-LU,13:00 - 14:00,224.43
14,18.12.2022,Germany,BZN DE-LU,14:00 - 15:00,229.5
15,18.12.2022,Germany,BZN DE-LU,15:00 - 16:00,239.86
16,18.12.2022,Germany,BZN DE-LU,16:00 - 17:00,233.57
17,18.12.2022,Germany,BZN DE-LU,17:00 - 18:00,229.47
18,18.12.2022,Germany,BZN DE-LU,18:00 - 19:00,220.65
19,18.12.2022,Germany,BZN DE-LU,19:00 - 20:00,208.29
20,18.12.2022,Germany,BZN DE-LU,20:00 - 21:00,130.02
21,18.12.2022,Germany,BZN DE-LU,21:00 - 22:00,163.08
22,18.12.2022,Germany,BZN DE-LU,22:00 - 23:00,145.93
23,18.12.2022,Germany,BZN DE-LU,23:00 - 00:00,115.28
0,18.12.2022,Germany,BZN CZ-DE-SK,00:00 - 01:00,
1,18.12.2022,Germany,BZN CZ-DE-SK,01:00 - 02:00,
2,18.12.2022,Germany,BZN CZ-DE-SK,02:00 - 03:00,
3,18.12.2022,Germany,BZN CZ-DE-SK,03:00 - 04:00,
4,18.12.2022,Germany,BZN CZ-DE-SK,04:00 - 05:00,
5,18.12.2022,Germany,BZN CZ-DE-SK,05:00 - 06:00,
6,18.12.2022,Germany,BZN CZ-DE-SK,06:00 - 07:00,
7,18.12.2022,Germany,BZN CZ-DE-SK,07:00 - 08:00,
8,18.12.2022,Germany,BZN CZ-DE-SK,08:00 - 09:00,
9,18.12.2022,Germany,BZN CZ-DE-SK,09:00 - 10:00,
10,18.12.2022,Germany,BZN CZ-DE-SK,10:00 - 11:00,
11,18.12.2022,Germany,BZN CZ-DE-SK,11:00 - 12:00,
12,18.12.2022,Germany,BZN CZ-DE-SK,12:00 - 13:00,
13,18.12.2022,Germany,BZN CZ-DE-SK,13:00 - 14:00,
14,18.12.2022,Germany,BZN CZ-DE-SK,14:00 - 15:00,
15,18.12.2022,Germany,BZN CZ-DE-SK,15:00 - 16:00,
16,18.12.2022,Germany,BZN CZ-DE-SK,16:00 - 17:00,
17,18.12.2022,Germany,BZN CZ-DE-SK,17:00 - 18:00,
18,18.12.2022,Germany,BZN CZ-DE-SK,18:00 - 19:00,
19,18.12.2022,Germany,BZN CZ-DE-SK,19:00 - 20:00,
20,18.12.2022,Germany,BZN CZ-DE-SK,20:00 - 21:00,
21,18.12.2022,Germany,BZN CZ-DE-SK,21:00 - 22:00,
22,18.12.2022,Germany,BZN CZ-DE-SK,22:00 - 23:00,
23,18.12.2022,Germany,BZN CZ-DE-SK,23:00 - 00:00,
0,18.12.2022,Germany,BZN DE-AT-LU,00:00 - 01:00,
1,18.12.2022,Germany,BZN DE-AT-LU,01:00 - 02:00,
2,18.12.2022,Germany,BZN DE-AT-LU,02:00 - 03:00,
3,18.12.2022,Germany,BZN DE-AT-LU,03:00 - 04:00,
4,18.12.2022,Germany,BZN DE-AT-LU,04:00 - 05:00,
5,18.12.2022,Germany,BZN DE-AT-LU,05:00 - 06:00,
6,18.12.2022,Germany,BZN DE-AT-LU,06:00 - 07:00,
7,18.12.2022,Germany,BZN DE-AT-LU,07:00 - 08:00,
8,18.12.2022,Germany,BZN DE-AT-LU,08:00 - 09:00,
9,18.12.2022,Germany,BZN DE-AT-LU,09:00 - 10:00,
10,18.12.2022,Germany,BZN DE-AT-LU,10:00 - 11:00,
11,18.12.2022,Germany,BZN DE-AT-LU,11:00 - 12:00,
12,18.12.2022,Germany,BZN DE-AT-LU,12:00 - 13:00,
13,18.12.2022,Germany,BZN DE-AT-LU,13:00 - 14:00,
14,18.12.2022,Germany,BZN DE-AT-LU,14:00 - 15:00,
15,18.12.2022,Germany,BZN DE-AT-LU,15:00 - 16:00,
