date,country,area,mtu,price(eur/mwh)
2022-12-08,Ukraine,BZN UA-BEI,03:00 - 04:00,
2022-12-08,Ukraine,BZN UA-BEI,04:00 - 05:00,
2022-12-08,Ukraine,BZN UA-BEI,05:00 - 06:00,
2022-12-08,Ukraine,BZN UA-BEI,06:00 - 07:00,
2022-12-08,Ukraine,BZN UA-BEI,07:00 - 08:00,
2022-12-08,Ukraine,BZN UA-BEI,08:00 - 09:00,
2022-12-08,Ukraine,BZN UA-BEI,09:00 - 10:00,
2022-12-08,Ukraine,BZN UA-BEI,10:00 - 11:00,
2022-12-08,Ukraine,BZN UA-BEI,11:00 - 12:00,
2022-12-08,Ukraine,BZN UA-BEI,12:00 - 13:00,
2022-12-08,Ukraine,BZN UA-BEI,13:00 - 14:00,
2022-12-08,Ukraine,BZN UA-BEI,14:00 - 15:00,
2022-12-08,Ukraine,BZN UA-BEI,15:00 - 16:00,
2022-12-08,Ukraine,BZN UA-BEI,16:00 - 17:00,
2022-12-08,Ukraine,BZN UA-BEI,17:00 - 18:00,
2022-12-08,Ukraine,BZN UA-BEI,18:00 - 19:00,
2022-12-08,Ukraine,BZN UA-BEI,19:00 - 20:00,
2022-12-08,Ukraine,BZN UA-BEI,20:00 - 21:00,
2022-12-08,Ukraine,BZN UA-BEI,21:00 - 22:00,
2022-12-08,Ukraine,BZN UA-BEI,22:00 - 23:00,
2022-12-08,Ukraine,BZN UA-BEI,23:00 - 00:00,
2022-12-08,Ukraine,BZN UA-DobTPP,00:00 - 01:00,
2022-12-08,Ukraine,BZN UA-DobTPP,01:00 - 02:00,
2022-12-08,Ukraine,BZN UA-DobTPP,02:00 - 03:00,
2022-12-08,Ukraine,BZN UA-DobTPP,03:00 - 04:00,
2022-12-08,Ukraine,BZN UA-DobTPP,04:00 - 05:00,
2022-12-08,Ukraine,BZN UA-DobTPP,05:00 - 06:00,
2022-12-08,Ukraine,BZN UA-DobTPP,06:00 - 07:00,
2022-12-08,Ukraine,BZN UA-DobTPP,07:00 - 08:00,
2022-12-08,Ukraine,BZN UA-DobTPP,08:00 - 09:00,
2022-12-08,Ukraine,BZN UA-DobTPP,09:00 - 10:00,
2022-12-08,Ukraine,BZN UA-DobTPP,10:00 - 11:00,
2022-12-08,Ukraine,BZN UA-DobTPP,11:00 - 12:00,
2022-12-08,Ukraine,BZN UA-DobTPP,12:00 - 13:00,
2022-12-08,Ukraine,BZN UA-DobTPP,13:00 - 14:00,
2022-12-08,Ukraine,BZN UA-DobTPP,14:00 - 15:00,
2022-12-08,Ukraine,BZN UA-DobTPP,15:00 - 16:00,
2022-12-08,Ukraine,BZN UA-DobTPP,16:00 - 17:00,
2022-12-08,Ukraine,BZN UA-DobTPP,17:00 - 18:00,
2022-12-08,Ukraine,BZN UA-DobTPP,18:00 - 19:00,
2022-12-08,Ukraine,BZN UA-DobTPP,19:00 - 20:00,
2022-12-08,Ukraine,BZN UA-DobTPP,20:00 - 21:00,
2022-12-08,Ukraine,BZN UA-DobTPP,21:00 - 22:00,
2022-12-08,Ukraine,BZN UA-DobTPP,22:00 - 23:00,
2022-12-08,Ukraine,BZN UA-DobTPP,23:00 - 00:00,
2022-12-08,Ukraine,BZN UA-IPS,00:00 - 01:00,
2022-12-08,Ukraine,BZN UA-IPS,01:00 - 02:00,
2022-12-08,Ukraine,BZN UA-IPS,02:00 - 03:00,
2022-12-08,Ukraine,BZN UA-IPS,03:00 - 04:00,
2022-12-08,Ukraine,BZN UA-IPS,04:00 - 05:00,
2022-12-08,Ukraine,BZN UA-IPS,05:00 - 06:00,
2022-12-08,Ukraine,BZN UA-IPS,06:00 - 07:00,
2022-12-08,Ukraine,BZN UA-IPS,07:00 - 08:00,
2022-12-08,Ukraine,BZN UA-IPS,08:00 - 09:00,
2022-12-08,Ukraine,BZN UA-IPS,09:00 - 10:00,
2022-12-08,Ukraine,BZN UA-IPS,10:00 - 11:00,
2022-12-08,Ukraine,BZN UA-IPS,11:00 - 12:00,
2022-12-08,Ukraine,BZN UA-IPS,12:00 - 13:00,
2022-12-08,Ukraine,BZN UA-IPS,13:00 - 14:00,
2022-12-08,Ukraine,BZN UA-IPS,14:00 - 15:00,
2022-12-08,Ukraine,BZN UA-IPS,15:00 - 16:00,
2022-12-08,Ukraine,BZN UA-IPS,16:00 - 17:00,
2022-12-08,Ukraine,BZN UA-IPS,17:00 - 18:00,
2022-12-08,Ukraine,BZN UA-IPS,18:00 - 19:00,
2022-12-08,Ukraine,BZN UA-IPS,19:00 - 20:00,
2022-12-08,Ukraine,BZN UA-IPS,20:00 - 21:00,
2022-12-08,Ukraine,BZN UA-IPS,21:00 - 22:00,
2022-12-08,Ukraine,BZN UA-IPS,22:00 - 23:00,
2022-12-08,Ukraine,BZN UA-IPS,23:00 - 00:00,
2022-12-08,United Kingdom,BZN GB,00:00 - 01:00,
2022-12-08,United Kingdom,BZN GB,01:00 - 02:00,
2022-12-08,United Kingdom,BZN GB,02:00 - 03:00,
2022-12-08,United Kingdom,BZN GB,03:00 - 04:00,
2022-12-08,United Kingdom,BZN GB,04:00 - 05:00,
2022-12-08,United Kingdom,BZN GB,05:00 - 06:00,
2022-12-08,United Kingdom,BZN GB,06:00 - 07:00,
2022-12-08,United Kingdom,BZN GB,07:00 - 08:00,
2022-12-08,United Kingdom,BZN GB,08:00 - 09:00,
2022-12-08,United Kingdom,BZN GB,09:00 - 10:00,
2022-12-08,United Kingdom,BZN GB,10:00 - 11:00,
2022-12-08,United Kingdom,BZN GB,11:00 - 12:00,
2022-12-08,United Kingdom,BZN GB,12:00 - 13:00,
2022-12-08,United Kingdom,BZN GB,13:00 - 14:00,
2022-12-08,United Kingdom,BZN GB,14:00 - 15:00,
2022-12-08,United Kingdom,BZN GB,15:00 - 16:00,
2022-12-08,United Kingdom,BZN GB,16:00 - 17:00,
2022-12-08,United Kingdom,BZN GB,17:00 - 18:00,
2022-12-08,United Kingdom,BZN GB,18:00 - 19:00,
2022-12-08,United Kingdom,BZN GB,19:00 - 20:00,
2022-12-08,United Kingdom,BZN GB,20:00 - 21:00,
2022-12-08,United Kingdom,BZN GB,21:00 - 22:00,
2022-12-08,United Kingdom,BZN GB,22:00 - 23:00,
2022-12-08,United Kingdom,BZN GB,23:00 - 00:00,
2022-12-08,United Kingdom,BZN GB(ElecLink),00:00 - 01:00,
2022-12-08,United Kingdom,BZN GB(ElecLink),01:00 - 02:00,
2022-12-08,United Kingdom,BZN GB(ElecLink),02:00 - 03:00,
2022-12-08,United Kingdom,BZN GB(ElecLink),03:00 - 04:00,
2022-12-08,United Kingdom,BZN GB(ElecLink),04:00 - 05:00,
2022-12-08,United Kingdom,BZN GB(ElecLink),05:00 - 06:00,
2022-12-08,United Kingdom,BZN GB(ElecLink),06:00 - 07:00,
2022-12-08,United Kingdom,BZN GB(ElecLink),07:00 - 08:00,
2022-12-08,United Kingdom,BZN GB(ElecLink),08:00 - 09:00,
2022-12-08,United Kingdom,BZN GB(ElecLink),09:00 - 10:00,
2022-12-08,United Kingdom,BZN GB(ElecLink),10:00 - 11:00,
2022-12-08,United Kingdom,BZN GB(ElecLink),11:00 - 12:00,
2022-12-08,United Kingdom,BZN GB(ElecLink),12:00 - 13:00,
2022-12-08,United Kingdom,BZN GB(ElecLink),13:00 - 14:00,
2022-12-08,United Kingdom,BZN GB(ElecLink),14:00 - 15:00,
2022-12-08,United Kingdom,BZN GB(ElecLink),15:00 - 16:00,
2022-12-08,United Kingdom,BZN GB(ElecLink),16:00 - 17:00,
2022-12-08,United Kingdom,BZN GB(ElecLink),17:00 - 18:00,
2022-12-08,United Kingdom,BZN GB(ElecLink),18:00 - 19:00,
2022-12-08,United Kingdom,BZN GB(ElecLink),19:00 - 20:00,
2022-12-08,United Kingdom,BZN GB(ElecLink),20:00 - 21:00,
2022-12-08,United Kingdom,BZN GB(ElecLink),21:00 - 22:00,
2022-12-08,United Kingdom,BZN GB(ElecLink),22:00 - 23:00,
2022-12-08,United Kingdom,BZN GB(ElecLink),23:00 - 00:00,
2022-12-08,United Kingdom,BZN GB(IFA),00:00 - 01:00,
2022-12-08,United Kingdom,BZN GB(IFA),01:00 - 02:00,
2022-12-08,United Kingdom,BZN GB(IFA),02:00 - 03:00,
2022-12-08,United Kingdom,BZN GB(IFA),03:00 - 04:00,
2022-12-08,United Kingdom,BZN GB(IFA),04:00 - 05:00,
2022-12-08,United Kingdom,BZN GB(IFA),05:00 - 06:00,
2022-12-08,United Kingdom,BZN GB(IFA),06:00 - 07:00,
2022-12-08,United Kingdom,BZN GB(IFA),07:00 - 08:00,
2022-12-08,United Kingdom,BZN GB(IFA),08:00 - 09:00,
2022-12-08,United Kingdom,BZN GB(IFA),09:00 - 10:00,
2022-12-08,United Kingdom,BZN GB(IFA),10:00 - 11:00,
2022-12-08,United Kingdom,BZN GB(IFA),11:00 - 12:00,
2022-12-08,United Kingdom,BZN GB(IFA),12:00 - 13:00,
2022-12-08,United Kingdom,BZN GB(IFA),13:00 - 14:00,
2022-12-08,United Kingdom,BZN GB(IFA),14:00 - 15:00,
2022-12-08,United Kingdom,BZN GB(IFA),15:00 - 16:00,
2022-12-08,United Kingdom,BZN GB(IFA),16:00 - 17:00,
2022-12-08,United Kingdom,BZN GB(IFA),17:00 - 18:00,
2022-12-08,United Kingdom,BZN GB(IFA),18:00 - 19:00,
2022-12-08,United Kingdom,BZN GB(IFA),19:00 - 20:00,
2022-12-08,United Kingdom,BZN GB(IFA),20:00 - 21:00,
2022-12-08,United Kingdom,BZN GB(IFA),21:00 - 22:00,
2022-12-08,United Kingdom,BZN GB(IFA),22:00 - 23:00,
2022-12-08,United Kingdom,BZN GB(IFA),23:00 - 00:00,
2022-12-08,United Kingdom,BZN GB(IFA2),00:00 - 01:00,
2022-12-08,United Kingdom,BZN GB(IFA2),01:00 - 02:00,
2022-12-08,United Kingdom,BZN GB(IFA2),02:00 - 03:00,
2022-12-08,United Kingdom,BZN GB(IFA2),03:00 - 04:00,
2022-12-08,United Kingdom,BZN GB(IFA2),04:00 - 05:00,
2022-12-08,United Kingdom,BZN GB(IFA2),05:00 - 06:00,
2022-12-08,United Kingdom,BZN GB(IFA2),06:00 - 07:00,
2022-12-08,United Kingdom,BZN GB(IFA2),07:00 - 08:00,
2022-12-08,United Kingdom,BZN GB(IFA2),08:00 - 09:00,
2022-12-08,United Kingdom,BZN GB(IFA2),09:00 - 10:00,
2022-12-08,United Kingdom,BZN GB(IFA2),10:00 - 11:00,
2022-12-08,United Kingdom,BZN GB(IFA2),11:00 - 12:00,
2022-12-08,United Kingdom,BZN GB(IFA2),12:00 - 13:00,
2022-12-08,United Kingdom,BZN GB(IFA2),13:00 - 14:00,
2022-12-08,United Kingdom,BZN GB(IFA2),14:00 - 15:00,
2022-12-08,United Kingdom,BZN GB(IFA2),15:00 - 16:00,
2022-12-08,United Kingdom,BZN GB(IFA2),16:00 - 17:00,
2022-12-08,United Kingdom,BZN GB(IFA2),17:00 - 18:00,
2022-12-08,United Kingdom,BZN GB(IFA2),18:00 - 19:00,
2022-12-08,United Kingdom,BZN GB(IFA2),19:00 - 20:00,
2022-12-08,United Kingdom,BZN GB(IFA2),20:00 - 21:00,
2022-12-08,United Kingdom,BZN GB(IFA2),21:00 - 22:00,
2022-12-08,United Kingdom,BZN GB(IFA2),22:00 - 23:00,
2022-12-08,United Kingdom,BZN GB(IFA2),23:00 - 00:00,
2022-12-09,Albania,BZN AL,00:00 - 01:00,
2022-12-09,Albania,BZN AL,01:00 - 02:00,
2022-12-09,Albania,BZN AL,02:00 - 03:00,
2022-12-09,Albania,BZN AL,03:00 - 04:00,
2022-12-09,Albania,BZN AL,04:00 - 05:00,
2022-12-09,Albania,BZN AL,05:00 - 06:00,
2022-12-09,Albania,BZN AL,06:00 - 07:00,
2022-12-09,Albania,BZN AL,07:00 - 08:00,
2022-12-09,Albania,BZN AL,08:00 - 09:00,
2022-12-09,Albania,BZN AL,09:00 - 10:00,
2022-12-09,Albania,BZN AL,10:00 - 11:00,
2022-12-09,Albania,BZN AL,11:00 - 12:00,
2022-12-09,Albania,BZN AL,12:00 - 13:00,
2022-12-09,Albania,BZN AL,13:00 - 14:00,
2022-12-09,Albania,BZN AL,14:00 - 15:00,
2022-12-09,Albania,BZN AL,15:00 - 16:00,
2022-12-09,Albania,BZN AL,16:00 - 17:00,
2022-12-09,Albania,BZN AL,17:00 - 18:00,
2022-12-09,Albania,BZN AL,18:00 - 19:00,
2022-12-09,Albania,BZN AL,19:00 - 20:00,
2022-12-09,Albania,BZN AL,20:00 - 21:00,
2022-12-09,Albania,BZN AL,21:00 - 22:00,
2022-12-09,Albania,BZN AL,22:00 - 23:00,
2022-12-09,Albania,BZN AL,23:00 - 00:00,
2022-12-09,Austria,BZN AT,00:00 - 01:00,334.01
2022-12-09,Austria,BZN AT,01:00 - 02:00,305.48
2022-12-09,Austria,BZN AT,02:00 - 03:00,302.38
2022-12-09,Austria,BZN AT,03:00 - 04:00,298.49
2022-12-09,Austria,BZN AT,04:00 - 05:00,304.04
2022-12-09,Austria,BZN AT,05:00 - 06:00,317.66
2022-12-09,Austria,BZN AT,06:00 - 07:00,362.64
2022-12-09,Austria,BZN AT,07:00 - 08:00,456.43
2022-12-09,Austria,BZN AT,08:00 - 09:00,489.76
2022-12-09,Austria,BZN AT,09:00 - 10:00,486.44
2022-12-09,Austria,BZN AT,10:00 - 11:00,478.7
2022-12-09,Austria,BZN AT,11:00 - 12:00,488.05
2022-12-09,Austria,BZN AT,12:00 - 13:00,481.1
2022-12-09,Austria,BZN AT,13:00 - 14:00,470.0
2022-12-09,Austria,BZN AT,14:00 - 15:00,476.44
2022-12-09,Austria,BZN AT,15:00 - 16:00,470.57
2022-12-09,Austria,BZN AT,16:00 - 17:00,474.88
2022-12-09,Austria,BZN AT,17:00 - 18:00,507.91
2022-12-09,Austria,BZN AT,18:00 - 19:00,480.01
2022-12-09,Austria,BZN AT,19:00 - 20:00,463.46
2022-12-09,Austria,BZN AT,20:00 - 21:00,446.22
2022-12-09,Austria,BZN AT,21:00 - 22:00,380.81
2022-12-09,Austria,BZN AT,22:00 - 23:00,378.47
2022-12-09,Austria,BZN AT,23:00 - 00:00,315.06
2022-12-09,Austria,BZN DE-AT-LU,00:00 - 01:00,
2022-12-09,Austria,BZN DE-AT-LU,01:00 - 02:00,
2022-12-09,Austria,BZN DE-AT-LU,02:00 - 03:00,
2022-12-09,Austria,BZN DE-AT-LU,03:00 - 04:00,
2022-12-09,Austria,BZN DE-AT-LU,04:00 - 05:00,
2022-12-09,Austria,BZN DE-AT-LU,05:00 - 06:00,
2022-12-09,Austria,BZN DE-AT-LU,06:00 - 07:00,
2022-12-09,Austria,BZN DE-AT-LU,07:00 - 08:00,
2022-12-09,Austria,BZN DE-AT-LU,08:00 - 09:00,
2022-12-09,Austria,BZN DE-AT-LU,09:00 - 10:00,
2022-12-09,Austria,BZN DE-AT-LU,10:00 - 11:00,
2022-12-09,Austria,BZN DE-AT-LU,11:00 - 12:00,
2022-12-09,Austria,BZN DE-AT-LU,12:00 - 13:00,
2022-12-09,Austria,BZN DE-AT-LU,13:00 - 14:00,
2022-12-09,Austria,BZN DE-AT-LU,14:00 - 15:00,
2022-12-09,Austria,BZN DE-AT-LU,15:00 - 16:00,
2022-12-09,Austria,BZN DE-AT-LU,16:00 - 17:00,
2022-12-09,Austria,BZN DE-AT-LU,17:00 - 18:00,
2022-12-09,Austria,BZN DE-AT-LU,18:00 - 19:00,
2022-12-09,Austria,BZN DE-AT-LU,19:00 - 20:00,
2022-12-09,Austria,BZN DE-AT-LU,20:00 - 21:00,
2022-12-09,Austria,BZN DE-AT-LU,21:00 - 22:00,
2022-12-09,Austria,BZN DE-AT-LU,22:00 - 23:00,
2022-12-09,Austria,BZN DE-AT-LU,23:00 - 00:00,
2022-12-09,Belgium,BZN BE,00:00 - 01:00,361.71
2022-12-09,Belgium,BZN BE,01:00 - 02:00,325.6
2022-12-09,Belgium,BZN BE,02:00 - 03:00,312.89
2022-12-09,Belgium,BZN BE,03:00 - 04:00,309.42
2022-12-09,Belgium,BZN BE,04:00 - 05:00,309.28
2022-12-09,Belgium,BZN BE,05:00 - 06:00,321.19
2022-12-09,Belgium,BZN BE,06:00 - 07:00,379.99
2022-12-09,Belgium,BZN BE,07:00 - 08:00,460.61
2022-12-09,Belgium,BZN BE,08:00 - 09:00,538.97
2022-12-09,Belgium,BZN BE,09:00 - 10:00,515.56
2022-12-09,Belgium,BZN BE,10:00 - 11:00,509.1
2022-12-09,Belgium,BZN BE,11:00 - 12:00,509.77
2022-12-09,Belgium,BZN BE,12:00 - 13:00,481.1
2022-12-09,Belgium,BZN BE,13:00 - 14:00,470.0
2022-12-09,Belgium,BZN BE,14:00 - 15:00,476.44
2022-12-09,Belgium,BZN BE,15:00 - 16:00,507.56
2022-12-09,Belgium,BZN BE,16:00 - 17:00,544.48
2022-12-09,Belgium,BZN BE,17:00 - 18:00,507.91
2022-12-09,Belgium,BZN BE,18:00 - 19:00,506.41
2022-12-09,Belgium,BZN BE,19:00 - 20:00,520.6
2022-12-09,Belgium,BZN BE,20:00 - 21:00,479.01
2022-12-09,Belgium,BZN BE,21:00 - 22:00,406.04
2022-12-09,Belgium,BZN BE,22:00 - 23:00,403.91
2022-12-09,Belgium,BZN BE,23:00 - 00:00,356.69
2022-12-09,Bosnia and Herzegovenia,BZN BA,00:00 - 01:00,
2022-12-09,Bosnia and Herzegovenia,BZN BA,01:00 - 02:00,
2022-12-09,Bosnia and Herzegovenia,BZN BA,02:00 - 03:00,
2022-12-09,Bosnia and Herzegovenia,BZN BA,03:00 - 04:00,
2022-12-09,Bosnia and Herzegovenia,BZN BA,04:00 - 05:00,
2022-12-09,Bosnia and Herzegovenia,BZN BA,05:00 - 06:00,
2022-12-09,Bosnia and Herzegovenia,BZN BA,06:00 - 07:00,
2022-12-09,Bosnia and Herzegovenia,BZN BA,07:00 - 08:00,
2022-12-09,Bosnia and Herzegovenia,BZN BA,08:00 - 09:00,
2022-12-09,Bosnia and Herzegovenia,BZN BA,09:00 - 10:00,
2022-12-09,Bosnia and Herzegovenia,BZN BA,10:00 - 11:00,
2022-12-09,Bosnia and Herzegovenia,BZN BA,11:00 - 12:00,
2022-12-09,Bosnia and Herzegovenia,BZN BA,12:00 - 13:00,
2022-12-09,Bosnia and Herzegovenia,BZN BA,13:00 - 14:00,
2022-12-09,Bosnia and Herzegovenia,BZN BA,14:00 - 15:00,
2022-12-09,Bosnia and Herzegovenia,BZN BA,15:00 - 16:00,
2022-12-09,Bosnia and Herzegovenia,BZN BA,16:00 - 17:00,
2022-12-09,Bosnia and Herzegovenia,BZN BA,17:00 - 18:00,
2022-12-09,Bosnia and Herzegovenia,BZN BA,18:00 - 19:00,
2022-12-09,Bosnia and Herzegovenia,BZN BA,19:00 - 20:00,
2022-12-09,Bosnia and Herzegovenia,BZN BA,20:00 - 21:00,
2022-12-09,Bosnia and Herzegovenia,BZN BA,21:00 - 22:00,
2022-12-09,Bosnia and Herzegovenia,BZN BA,22:00 - 23:00,
2022-12-09,Bosnia and Herzegovenia,BZN BA,23:00 - 00:00,
2022-12-09,Bulgaria,BZN BG,00:00 - 01:00,148.84
2022-12-09,Bulgaria,BZN BG,01:00 - 02:00,150.63
2022-12-09,Bulgaria,BZN BG,02:00 - 03:00,235.48
2022-12-09,Bulgaria,BZN BG,03:00 - 04:00,215.79
2022-12-09,Bulgaria,BZN BG,04:00 - 05:00,265.52
2022-12-09,Bulgaria,BZN BG,05:00 - 06:00,292.0
2022-12-09,Bulgaria,BZN BG,06:00 - 07:00,362.25
2022-12-09,Bulgaria,BZN BG,07:00 - 08:00,456.36
2022-12-09,Bulgaria,BZN BG,08:00 - 09:00,474.51
2022-12-09,Bulgaria,BZN BG,09:00 - 10:00,476.0
2022-12-09,Bulgaria,BZN BG,10:00 - 11:00,441.37
2022-12-09,Bulgaria,BZN BG,11:00 - 12:00,305.58
2022-12-09,Bulgaria,BZN BG,12:00 - 13:00,481.1
2022-12-09,Bulgaria,BZN BG,13:00 - 14:00,470.0
2022-12-09,Bulgaria,BZN BG,14:00 - 15:00,476.44
2022-12-09,Bulgaria,BZN BG,15:00 - 16:00,485.16
2022-12-09,Bulgaria,BZN BG,16:00 - 17:00,420.39
2022-12-09,Bulgaria,BZN BG,17:00 - 18:00,507.91
2022-12-09,Bulgaria,BZN BG,18:00 - 19:00,462.42
2022-12-09,Bulgaria,BZN BG,19:00 - 20:00,450.38
2022-12-09,Bulgaria,BZN BG,20:00 - 21:00,151.44
2022-12-09,Bulgaria,BZN BG,21:00 - 22:00,152.42
2022-12-09,Bulgaria,BZN BG,22:00 - 23:00,156.0
2022-12-09,Bulgaria,BZN BG,23:00 - 00:00,91.69
2022-12-09,Croatia,BZN HR,00:00 - 01:00,276.73
2022-12-09,Croatia,BZN HR,01:00 - 02:00,231.57
2022-12-09,Croatia,BZN HR,02:00 - 03:00,139.33
2022-12-09,Croatia,BZN HR,03:00 - 04:00,106.42
2022-12-09,Croatia,BZN HR,04:00 - 05:00,216.95
2022-12-09,Croatia,BZN HR,05:00 - 06:00,260.42
2022-12-09,Croatia,BZN HR,06:00 - 07:00,362.95
2022-12-09,Croatia,BZN HR,07:00 - 08:00,456.71
2022-12-09,Croatia,BZN HR,08:00 - 09:00,475.76
2022-12-09,Croatia,BZN HR,09:00 - 10:00,477.36
2022-12-09,Croatia,BZN HR,10:00 - 11:00,469.94
2022-12-09,Croatia,BZN HR,11:00 - 12:00,458.63
2022-12-09,Croatia,BZN HR,12:00 - 13:00,481.1
2022-12-09,Croatia,BZN HR,13:00 - 14:00,470.0
2022-12-09,Croatia,BZN HR,14:00 - 15:00,476.44
2022-12-09,Croatia,BZN HR,15:00 - 16:00,479.83
2022-12-09,Croatia,BZN HR,16:00 - 17:00,300.0
2022-12-09,Croatia,BZN HR,17:00 - 18:00,507.91
2022-12-09,Croatia,BZN HR,18:00 - 19:00,430.64
2022-12-09,Croatia,BZN HR,19:00 - 20:00,432.44
2022-12-09,Croatia,BZN HR,20:00 - 21:00,408.78
2022-12-09,Croatia,BZN HR,21:00 - 22:00,350.93
2022-12-09,Croatia,BZN HR,22:00 - 23:00,309.26
2022-12-09,Croatia,BZN HR,23:00 - 00:00,200.01
2022-12-09,Cyprus,BZN CY,00:00 - 01:00,
2022-12-09,Cyprus,BZN CY,01:00 - 02:00,
2022-12-09,Cyprus,BZN CY,02:00 - 03:00,
2022-12-09,Cyprus,BZN CY,03:00 - 04:00,
2022-12-09,Cyprus,BZN CY,04:00 - 05:00,
2022-12-09,Cyprus,BZN CY,05:00 - 06:00,
2022-12-09,Cyprus,BZN CY,06:00 - 07:00,
2022-12-09,Cyprus,BZN CY,07:00 - 08:00,
2022-12-09,Cyprus,BZN CY,08:00 - 09:00,
2022-12-09,Cyprus,BZN CY,09:00 - 10:00,
2022-12-09,Cyprus,BZN CY,10:00 - 11:00,
2022-12-09,Cyprus,BZN CY,11:00 - 12:00,
2022-12-09,Cyprus,BZN CY,12:00 - 13:00,
2022-12-09,Cyprus,BZN CY,13:00 - 14:00,
2022-12-09,Cyprus,BZN CY,14:00 - 15:00,
2022-12-09,Cyprus,BZN CY,15:00 - 16:00,
2022-12-09,Cyprus,BZN CY,16:00 - 17:00,
2022-12-09,Cyprus,BZN CY,17:00 - 18:00,
2022-12-09,Cyprus,BZN CY,18:00 - 19:00,
2022-12-09,Cyprus,BZN CY,19:00 - 20:00,
2022-12-09,Cyprus,BZN CY,20:00 - 21:00,
2022-12-09,Cyprus,BZN CY,21:00 - 22:00,
2022-12-09,Cyprus,BZN CY,22:00 - 23:00,
2022-12-09,Cyprus,BZN CY,23:00 - 00:00,
2022-12-09,Czech Republic,BZN CZ,00:00 - 01:00,328.65
2022-12-09,Czech Republic,BZN CZ,01:00 - 02:00,304.25
2022-12-09,Czech Republic,BZN CZ,02:00 - 03:00,288.8
2022-12-09,Czech Republic,BZN CZ,03:00 - 04:00,273.2
2022-12-09,Czech Republic,BZN CZ,04:00 - 05:00,291.72
2022-12-09,Czech Republic,BZN CZ,05:00 - 06:00,312.17
2022-12-09,Czech Republic,BZN CZ,06:00 - 07:00,361.0
2022-12-09,Czech Republic,BZN CZ,07:00 - 08:00,455.72
2022-12-09,Czech Republic,BZN CZ,08:00 - 09:00,475.0
2022-12-09,Czech Republic,BZN CZ,09:00 - 10:00,476.97
2022-12-09,Czech Republic,BZN CZ,10:00 - 11:00,471.33
2022-12-09,Czech Republic,BZN CZ,11:00 - 12:00,487.56
2022-12-09,Czech Republic,BZN CZ,12:00 - 13:00,481.1
2022-12-09,Czech Republic,BZN CZ,13:00 - 14:00,470.0
2022-12-09,Czech Republic,BZN CZ,14:00 - 15:00,476.44
2022-12-09,Czech Republic,BZN CZ,15:00 - 16:00,463.76
2022-12-09,Czech Republic,BZN CZ,16:00 - 17:00,361.8
2022-12-09,Czech Republic,BZN CZ,17:00 - 18:00,507.91
2022-12-09,Czech Republic,BZN CZ,18:00 - 19:00,475.0
2022-12-09,Czech Republic,BZN CZ,19:00 - 20:00,453.2
2022-12-09,Czech Republic,BZN CZ,20:00 - 21:00,443.42
2022-12-09,Czech Republic,BZN CZ,21:00 - 22:00,380.31
2022-12-09,Czech Republic,BZN CZ,22:00 - 23:00,277.09
2022-12-09,Czech Republic,BZN CZ,23:00 - 00:00,301.64
2022-12-09,Czech Republic,BZN CZ-DE-SK,00:00 - 01:00,
2022-12-09,Czech Republic,BZN CZ-DE-SK,01:00 - 02:00,
2022-12-09,Czech Republic,BZN CZ-DE-SK,02:00 - 03:00,
2022-12-09,Czech Republic,BZN CZ-DE-SK,03:00 - 04:00,
2022-12-09,Czech Republic,BZN CZ-DE-SK,04:00 - 05:00,
2022-12-09,Czech Republic,BZN CZ-DE-SK,05:00 - 06:00,
2022-12-09,Czech Republic,BZN CZ-DE-SK,06:00 - 07:00,
2022-12-09,Czech Republic,BZN CZ-DE-SK,07:00 - 08:00,
2022-12-09,Czech Republic,BZN CZ-DE-SK,08:00 - 09:00,
2022-12-09,Czech Republic,BZN CZ-DE-SK,09:00 - 10:00,
2022-12-09,Czech Republic,BZN CZ-DE-SK,10:00 - 11:00,
2022-12-09,Czech Republic,BZN CZ-DE-SK,11:00 - 12:00,
2022-12-09,Czech Republic,BZN CZ-DE-SK,12:00 - 13:00,
2022-12-09,Czech Republic,BZN CZ-DE-SK,13:00 - 14:00,
2022-12-09,Czech Republic,BZN CZ-DE-SK,14:00 - 15:00,
2022-12-09,Czech Republic,BZN CZ-DE-SK,15:00 - 16:00,
2022-12-09,Czech Republic,BZN CZ-DE-SK,16:00 - 17:00,
2022-12-09,Czech Republic,BZN CZ-DE-SK,17:00 - 18:00,
2022-12-09,Czech Republic,BZN CZ-DE-SK,18:00 - 19:00,
2022-12-09,Czech Republic,BZN CZ-DE-SK,19:00 - 20:00,
2022-12-09,Czech Republic,BZN CZ-DE-SK,20:00 - 21:00,
2022-12-09,Czech Republic,BZN CZ-DE-SK,21:00 - 22:00,
2022-12-09,Czech Republic,BZN CZ-DE-SK,22:00 - 23:00,
2022-12-09,Czech Republic,BZN CZ-DE-SK,23:00 - 00:00,
2022-12-09,Denmark,BZN DK1,00:00 - 01:00,325.99
2022-12-09,Denmark,BZN DK1,01:00 - 02:00,305.79
2022-12-09,Denmark,BZN DK1,02:00 - 03:00,301.76
2022-12-09,Denmark,BZN DK1,03:00 - 04:00,297.87
2022-12-09,Denmark,BZN DK1,04:00 - 05:00,303.41
2022-12-09,Denmark,BZN DK1,05:00 - 06:00,317.66
2022-12-09,Denmark,BZN DK1,06:00 - 07:00,358.77
2022-12-09,Denmark,BZN DK1,07:00 - 08:00,455.38
